WDPAID,Title,WikipediaUrl,ThumbnailImg,Feature,CountryCode,Elevation,Lat,Long,Language,Summary
CT4,Hammonasset Beach State Park,http://en.wikipedia.org/wiki/Hammonasset_Beach_State_Park,,,US,2,41.2639,-72.5531,en,"<div lang=""en"" dir=""ltr"" class=""mw-content-ltr""><p><b>Hammonasset Beach State Park</b> is a state park located in <a href=""javascript:go('Madison,_Connecticut')"" title=""Madison, Connecticut"">Madison</a>, a town in <a href=""javascript:go('New_Haven_County,_Connecticut')"" title=""New Haven County, Connecticut"">New Haven County</a>, <a href=""javascript:go('Connecticut')"" title=""Connecticut"">Connecticut</a>, <a href=""javascript:go('United_States')"" title=""United States"">United States</a>.</p>  <p>It is Connecticut's largest shoreline park, with over two miles of beach. Activities include bicycling, boating, fishing, hiking, picnicking and swimming. The park has over 550 campsites available. The <a  class=""new"" title=""Meigs Point Nature Center (page does not exist)"">Meigs Point Nature Center</a> offers programs and activities for park visitors on a limited year round basis.<sup id=""cite_ref-DEP_0-0"" class=""reference""><a href=""#cite_note-DEP-0""><span>[</span>1<span>]</span></a></sup></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Hammonasset_Beach_State_Park"" target=""_blank"">Read full article..</a></p></div>"
DE1,Cape Henlopen State Park,http://en.wikipedia.org/wiki/Cape_Henlopen_State_Park,,,,255,38.7667,-75.0958,en,"<p><b>Cape Henlopen State Park</b> is a <a href=""javascript:go('List_of_Delaware_state_parks')"" title=""List of Delaware state parks"">Delaware state park</a> on 5,193 acres (2,102&#160;ha) on <a href=""javascript:go('Cape_Henlopen')"" title=""Cape Henlopen"">Cape Henlopen</a> in <a href=""javascript:go('Sussex_County,_Delaware')"" title=""Sussex County, Delaware"">Sussex County</a>, <a href=""javascript:go('Delaware')"" title=""Delaware"">Delaware</a>, in the <a href=""javascript:go('United_States')"" title=""United States"">United States</a>. <a href=""javascript:go('William_Penn')"" title=""William Penn"">William Penn</a> made the beaches of Cape Henlopen one of the first <a href=""javascript:go('Public_land')"" title=""Public land"">public lands</a> established in what has become the United States in <a href=""javascript:go('1682')"" title=""1682"">1682</a> with the declaration that Cape Henlopen would be for ""the usage of the citizens of Lewes and Sussex County."" Cape Henlopen State Park has a 24-hour and year-round <a href=""javascript:go('Fishing_pier')"" title=""Fishing pier"" class=""mw-redirect"">fishing pier</a> as well as campgrounds. The remainder of the park is only open from sunrise to sunset, and includes a bathhouse on the <a href=""javascript:go('Atlantic_Ocean')"" title=""Atlantic Ocean"">Atlantic Ocean</a>, an area for surf-fishing, a <a href=""javascript:go('Disc_golf')"" title=""Disc golf"">disc golf</a> course, and bicycle and walking paths. The beach at Herring Point is a popular surfing spot. The park is a stop on Delaware's <a href=""javascript:go('Coastal_Heritage_Greenway')"" title=""Coastal Heritage Greenway"">Coastal Heritage Greenway</a>.</p>  <p>As with all Delaware state beaches, entrance is free during the off-season, but costs $4 for Delaware-tagged vehicles and $8 for out of state vehicles from 1 May to 31 October. Season passes may be purchased at a cost of $27 per in-state vehicle and $54 per out-of-state vehicle. These passes provide access to all state beaches and parks in Delaware.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Cape_Henlopen_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL1200,Curry Hammock State Park,http://en.wikipedia.org/wiki/Curry_Hammock_State_Park,,landmark,US,9,28.02,-82.8211,en,"<p><b>Curry Hammock State Park</b> is a <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a>, located along both sides of <a href=""javascript:go('U.S._Route_1_in_Florida')"" title=""U.S. Route 1 in Florida"">US 1</a>, starting at mile marker 56.2 on <a href=""javascript:go('Crawl_Key')"" title=""Crawl Key"">Crawl Key</a> in the <a href=""javascript:go('Florida_Keys')"" title=""Florida Keys"">Florida Keys</a>.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Curry_Hammock_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL505,Estero Bay Preserve State Park,http://en.wikipedia.org/wiki/Estero_Bay_Preserve_State_Park,,,,,26.3969,-81.8594,en,"<p><b>Estero Bay Preserve State Park</b>, the first aquatic <a href=""javascript:go('Nature_preserve')"" title=""Nature preserve"" class=""mw-redirect"">nature preserve</a> established in Florida, is a 10,000-acre (40&#160;km<sup>2</sup>) <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a> located near <a href=""javascript:go('Estero,_Florida')"" title=""Estero, Florida"">Estero</a>, between <a href=""javascript:go('Fort_Myers,_Florida')"" title=""Fort Myers, Florida"">Fort Myers</a> and <a href=""javascript:go('Naples,_Florida')"" title=""Naples, Florida"">Naples</a>. It consists of the water, inlets, and islands along 10 miles (16&#160;km) of <a href=""javascript:go('Estero_Bay_(Florida)')"" title=""Estero Bay (Florida)"">Estero Bay</a>. Activities include fishing, and boating, bicycling, canoeing, and wildlife viewing. Among the wildlife of the park are <a href=""javascript:go('Gopherus_polyphemus')"" title=""Gopherus polyphemus"" class=""mw-redirect"">gopher tortoises</a>, <a href=""javascript:go('Fiddler_crab')"" title=""Fiddler crab"">fiddler crabs</a>, and <a href=""javascript:go('Bald_Eagle')"" title=""Bald Eagle"">Bald Eagles</a>. The park is open from 8:00 A.M. until sundown year round.</p>  <p>The old rail bed of the Seaboard Air Line Railway can be found near the Florida Power and Light easement headed northwest. This section has now been orphaned as developments to the north and south have isolated this section. The Seaboard Air Line Railway was once one of two railroads that served southwest Florida and serves as a point of interest in the park on a hike.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Estero_Bay_Preserve_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL517,Crystal River Preserve State Park,http://en.wikipedia.org/wiki/Crystal_River_Preserve_State_Park,,,,8,28.9164,-82.6236,en,"<p><b>Crystal River Preserve State Park</b> is a <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a> that park contains 30,000 acres (120&#160;km_) of undisturbed islands, inlets, backwaters, and forests. It is unique in that lies between <a href=""javascript:go('Temperate_climate')"" title=""Temperate climate"" class=""mw-redirect"">temperate</a> and <a href=""javascript:go('Sub-tropical')"" title=""Sub-tropical"" class=""mw-redirect"">sub-tropical climate</a> zones and contains plants and animals from both. The park borders 20 miles (30&#160;km) of the <a href=""javascript:go('Gulf_of_Mexico')"" title=""Gulf of Mexico"">Gulf of Mexico</a> between the cities of <a href=""javascript:go('Yankeetown,_Florida')"" title=""Yankeetown, Florida"">Yankeetown</a> and <a href=""javascript:go('Homosassa,_Florida')"" title=""Homosassa, Florida"">Homosassa</a>. <a href=""javascript:go('Crystal_River_Archaeological_State_Park')"" title=""Crystal River Archaeological State Park"">Crystal River Archaeological State Park</a> is located within the park.</p>  <p>Activities include canoeing, fishing, wildlife viewing, hiking and bicycling. Among the wildlife of the park are <a href=""javascript:go('Neotropical')"" title=""Neotropical"" class=""mw-redirect"">neotropical</a> birds and <a href=""javascript:go('Hawks')"" title=""Hawks"" class=""mw-redirect"">hawks</a>, <a href=""javascript:go('White-tailed_deer')"" title=""White-tailed deer"">white-tailed deer</a>, <a href=""javascript:go('Turkey')"" title=""Turkey"">turkey</a>, and wading birds. Amenities include a dock, a 9 mile (14&#160;km) biking trail, hiking trails and a two-and-a-half mile interpretive trail. The visitor center houses 6 dioramas, three 125 US gallon (473 L) <a href=""javascript:go('Aquarium')"" title=""Aquarium"">aquariums</a>, 2 snake exhibits, a <a href=""javascript:go('Diamondback_terrapin')"" title=""Diamondback terrapin"">diamondback terrapin</a> enclosure, and a touch table. The park is open from 8:00 am till sundown year round.</p>  <p>Manatees are nowhere to be found in this State Park, even though, the nearest city (Crystal River) is nicknamed ""Manatee Haven"".</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Crystal_River_Preserve_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL527,St. Sebastian River Preserve State Park,http://en.wikipedia.org/wiki/St._Sebastian_River_Preserve_State_Park,,landmark,,13,27.8275,-80.5603,en,"<p><b>St. Sebastian River Preserve State Park</b> is a <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a>, located three miles north of <a href=""javascript:go('Fellsmere,_Florida')"" title=""Fellsmere, Florida"">Fellsmere</a>.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/St._Sebastian_River_Preserve_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL7,Charlotte Harbor Preserve State Park,http://en.wikipedia.org/wiki/Charlotte_Harbor_Preserve_State_Park,,,,3,26.8735,-82.024,en,"<p><b>Charlotte Harbor Preserve State Park</b> is a 46,000-acre (190&#160;km<sup>2</sup>) <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a>, composed of islands and land that surrounds <a href=""javascript:go('Charlotte_Harbor_(estuary)')"" title=""Charlotte Harbor (estuary)"">Charlotte Harbor</a>. It is part of the <a href=""javascript:go('Southwest_Florida_Water_Management_District')"" title=""Southwest Florida Water Management District"">Southwest Florida Water Management District</a> and protects the <a href=""javascript:go('Gasparilla_Sound')"" title=""Gasparilla Sound"" class=""mw-redirect"">Gasparilla Sound</a>/ <a href=""javascript:go('Charlotte_Harbor')"" title=""Charlotte Harbor"" class=""mw-redirect"">Charlotte Harbor</a>, <a  class=""new"" title=""Cape Haze (page does not exist)"">Cape Haze</a>, <a  class=""new"" title=""Matlacha Pass (page does not exist)"">Matlacha Pass</a> and <a href=""javascript:go('Pine_Island_Sound')"" title=""Pine Island Sound"">Pine Island Sound</a> aquatic preserves.<sup id=""cite_ref-SFWMD_0-0"" class=""reference""><a href=""#cite_note-SFWMD-0""><span>[</span>1<span>]</span></a></sup> It is site 22 on southern section of the <a href=""javascript:go('Great_Florida_Birding_Trail')"" title=""Great Florida Birding Trail"">Great Florida Birding Trail</a> and offers boating, paddling, fishing, and hiking.<sup id=""cite_ref-SFWMD_0-1"" class=""reference""><a href=""#cite_note-SFWMD-0""><span>[</span>1<span>]</span></a></sup></p>  <p>The park can be accessed from <a href=""javascript:go('Punta_Gorda,_Florida')"" title=""Punta Gorda, Florida"">Punta Gorda</a>, <a href=""javascript:go('Cape_Coral,_Florida')"" title=""Cape Coral, Florida"">Cape Coral</a>, <a  class=""new"" title=""Cape Haze (page does not exist)"">Cape Haze</a>, <a href=""javascript:go('El_Jobean,_Florida')"" title=""El Jobean, Florida"">El Jobean</a>, <a href=""javascript:go('Rotonda,_Florida')"" title=""Rotonda, Florida"" class=""mw-redirect"">Rotonda</a> and <a  class=""new"" title=""Little Pine Island (page does not exist)"">Little Pine Island</a>. The main offices are approximately 3 miles (4.8&#160;km) south of <a href=""javascript:go('U.S._Route_41')"" title=""U.S. Route 41"">US 41</a>/Tamiami Trail, in Punta Gorda.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Charlotte_Harbor_Preserve_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL750,Amelia Island State Park,http://en.wikipedia.org/wiki/Amelia_Island_State_Park,,,US,7,30.53,-81.4381,en,"<p><b>Amelia Island State Recreation Area</b> is a <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a> located 7 miles (11&#160;km) north of <a href=""javascript:go('Little_Talbot_Island_State_Park')"" title=""Little Talbot Island State Park"">Little Talbot Island State Park</a> on <a href=""javascript:go('State_Road_A1A_(Florida)')"" title=""State Road A1A (Florida)"" class=""mw-redirect"">SR A1A</a>, and 8 miles (13&#160;km) south of <a href=""javascript:go('Fernandina_Beach,_Florida')"" title=""Fernandina Beach, Florida"">Fernandina Beach</a> on <a href=""javascript:go('Amelia_Island')"" title=""Amelia Island"">Amelia Island</a>, Florida. The park consists of 200 acres (0.81&#160;km<sup>2</sup>) of beaches, salt marshes and coastal maritime forests.</p>  <p>Activities include fishing, hiking, sunning, watching wildlife, and horseback riding.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Amelia_Island_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL751,Anastasia State Park,http://en.wikipedia.org/wiki/Anastasia_State_Park,,,US,2,29.8832,-81.2793,en,"<p><b>Anastasia State Recreation Area</b> is a 1,600-acre (6.5&#160;km<sup>2</sup>) <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a> located on a <a href=""javascript:go('Peninsula')"" title=""Peninsula"">peninsula</a> on the Atlantic coast of <a href=""javascript:go('Anastasia_Island')"" title=""Anastasia Island"">Anastasia Island</a> across <a href=""javascript:go('Matanzas_Bay')"" title=""Matanzas Bay"">Matanzas Bay</a> from downtown <a href=""javascript:go('St._Augustine,_Florida')"" title=""St. Augustine, Florida"">St. Augustine</a>. The park has a variety of wildlife, birds and plants in a setting of beaches, tidal salt marsh, and marine and upland <a href=""javascript:go('Hammock_(ecology)')"" title=""Hammock (ecology)"">hammock</a>.</p>  <p><b>Recreational activities</b> Activities include bird watching, <a href=""javascript:go('Camping')"" title=""Camping"">camping</a>, <a href=""javascript:go('Fishing')"" title=""Fishing"">fishing</a>, sun bathing, <a href=""javascript:go('Surfing')"" title=""Surfing"">surfing</a>, sail boarding, <a href=""javascript:go('Human_swimming')"" title=""Human swimming"">swimming</a>, <a href=""javascript:go('Kayaking')"" title=""Kayaking"">kayaking</a>, <a href=""javascript:go('Hiking')"" title=""Hiking"">hiking</a> and <a href=""javascript:go('Picnicking')"" title=""Picnicking"" class=""mw-redirect"">picnicking</a>.</p>  <p>Amenities include a campground and nature trails, and the park is unique in being the site of a quarry from which the <a href=""javascript:go('Coquina')"" title=""Coquina"">coquina</a> stone used in the construction of the <a href=""javascript:go('Castillo_de_San_Marcos')"" title=""Castillo de San Marcos"">Castillo de San Marcos</a> in St. Augustine was mined.</p>  <p><b>Hours</b> Florida state parks are open between 8 a.m. and sundown every day of the year (including holidays).</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Anastasia_State_Park"" target=""_blank"">Read full article..</a></p></div>"
FL756,Big Talbot Island State Park,http://en.wikipedia.org/wiki/Big_Talbot_Island_State_Park,,,US,13,30.4831,-81.44,en,"<p><b>Big Talbot Island State Park</b> is a <a href=""javascript:go('Florida_State_Parks')"" title=""Florida State Parks"">Florida State Park</a> located on Big Talbot Island, 20 miles east of downtown <a href=""javascript:go('Jacksonville')"" title=""Jacksonville"" class=""mw-redirect"">Jacksonville</a> on <a href=""javascript:go('Florida_State_Road_A1A')"" title=""Florida State Road A1A"">A1A North</a> and immediately north of <a href=""javascript:go('Little_Talbot_Island_State_Park')"" title=""Little Talbot Island State Park"">Little Talbot Island State Park</a>.</p>  <p>The park is a nature preserve and a location for nature study, bird–watching, or photography. Other activities include hiking, bicycling, fishing, boating, canoeing, kayaking, and picnicking. Amenities include picnic pavilions, nature trails, a fishing pier, a boat ramp, bike trails and beaches. The park is open from 8:00 am till sundown year round.</p>  <p>The coastal landscape and beach at Big Talbot Island is unique within the state of <a href=""javascript:go('Florida')"" title=""Florida"">Florida</a> as result of the lava like <a href=""javascript:go('Hardpan')"" title=""Hardpan"">hardpan</a> sedimentary deposits. These rocky formations are habitat for mollusca, crab, oysters, and other tide pool creatures. The formations and sand on Blackrock Beach are much darker in contrast to the coquina formations at <a href=""javascript:go('Washington_Oaks_State_Gardens')"" title=""Washington Oaks State Gardens"">Washington Oaks State Gardens</a>, and the limestone outcroppings at <a href=""javascript:go('Blowing_Rocks_Preserve')"" title=""Blowing Rocks Preserve"">Blowing Rocks Preserve</a> further south on <a href=""javascript:go('A1A')"" title=""A1A"" class=""mw-redirect"">A1A</a>. The beach can be accessed through the park entrance or through the trailhead parking area adjacent to the Blackrock Trail.</p>  <p>Big Talbot and <a href=""javascript:go('Little_Talbot')"" title=""Little Talbot"" class=""mw-redirect"">Little Talbot</a> are two of only a few remaining undeveloped barrier islands within Florida. Native Americans named the <a href=""javascript:go('Timucua')"" title=""Timucua"">Timucua</a> were the first humans to inhabit these islands. Beginning with the arrival of the French in 1562, France, England, and Spain claimed the islands as colonial territory. In 1735, General <a href=""javascript:go('James_Oglethorpe')"" title=""James Oglethorpe"">James Oglethorpe</a> named the Talbot Islands in honor of <a href=""javascript:go('Charles_Talbot,_1st_Baron_Talbot')"" title=""Charles Talbot, 1st Baron Talbot"">Charles Talbot</a>, Lord High Chancellor of England. Along with the bordering <a href=""javascript:go('Timucuan_Ecological_and_Historic_Preserve')"" title=""Timucuan Ecological and Historic Preserve"">Timucuan Ecological and Historic Preserve</a>, the islands are representative of several ecosystems and support a number of diverse natural habitats abundant with wildlife.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Big_Talbot_Island_State_Park"" target=""_blank"">Read full article..</a></p></div>"
