ID,Name,Longitude,Latitude,Source,Seascape or Site,Basin,Region,Location,"EEZ, High Seas or both",Leading institution,partners,Key leader/agency,Time frame,Area,Level of Protection (Current),Level of Protection (Desired),Importance,Opportunity,Reference1,Reference2
12,Congo Basin Coast-Gulf of Guinea Seascape,6.789999552,2.406120646,"NGS List, Caleb McClennen (WCS)",Seascape,Atlantic,Central,Congo Basin Coast-Gulf of Guinea Seascape,EEZ - multi-country,NGS,"Wildlife Conservation Society, SEA, IUCN, Gabon Sea Turtle Partnership, WWF? (also has parks in Gabon)","President Bongo, Gabon Dept. of Environment, Congolese Gov, Gabon/Congo Parks (APN)/Fisheries (DP)",TBD,"147,600 km2 (from northern Gabon to Congo-Brazzaville southern border)","Currently two no-take reserves run by WCS - Mayumba NP (Gabon) and Conkuati-Donali NP (Congo, subsistence ok) totaling ~2000 km2",Network of protected areas,"Remote area despite being coastal; strong political will; Largest leatherback nesting site, other turtles (olive ridleys, greens), whales, humpback dolphins",Very low human population on the coast (remote even though close to land); strong government support for conservation; new Gabonese president ushering in less corruption and is pro-environment; Gabonese trying to develop ecotourism; Oil/gas development significant power; already many marine operations,http://www.wcs.org/about-us/~/media/Files/prospectuses/CongoBasinCoast_Prospectus2010_101810.pdf,
13,Mesoamerican Reef including Belize Barrier Reef,-87.90827153,16.36674847,"Caleb McClennen (WCS), WWF website",Seascape,Atlantic,Central,Mesoamerican Reef including Belize Barrier Reef,EEZ - multi-country,"WWF, WCS","WWF, CI, SEA, TNC, Oceana as well as a number of local NGOs, WCS, Audubon","Mexico, Belize, Guatemala, Honduras, Nicaragua Governments",Ongoing - 5 years,"465,000 km2",11 MPAs in place in 2002 totaling ~26 km2; trawling banned in Belize waters ,Network of protected areas; Ban offshore drilling,"Atlantic Ocean's largest coral reef, still largely intact",Strong NGO support; People of Belize to vote by referendum for possible ban of offshore drilling,http://www.worldwildlife.org/what/wherewework/mesoamericanreef/,
14,Swan Islands,-83.91517039,17.41200207,Carlos Saavedra (Summit Foundation),Site,Atlantic,Central,Swan Islands,EEZ,Summit Foundation,"Healthy Reefs Institute, Coral Reef Alliance, WWF, TNC, Summit Foundation",Honduran Ministry of Natural Resources & Environment (SERNA); Honduran National Directorate for Biodiversity (DIBIO); Honduran National Directorate for Fisheries (DIGEPESCA); Honduran Institute for Conservation and Forestry Development (ICF); Honduran Navy,2 years,"Approximately 110 km2; 17°27’ N to 17°27’ N; and 83°52’W to 83°59’W. Uninhabited, except for a small, permanent Honduran Navy Base ",,National Marine Sanctuary,Fringing reef around the three islands hosts productive marine ecosystems,,,
15,Turneffe Atoll,-87.8571433,17.36356502,Carlos Saavedra (Summit Foundation),Site,Atlantic,Central,Turneffe Atoll,EEZ,Oceanic Society?,Turneffe Atoll Trust; University of Belize; Oceanic Society; Healthy Reefs Initiative; The Nature Conservancy,Belizean Ministry of Agriculture & Fisheries (Fisheries Department specifically); Belizean Ministry of Natural Resources (Forestry Department specifically); Local fishermen cooperatives; ,1 year,"2,053 km2 Located 30 minutes by boat from Belize City. Reference Point: 17°25’N & 87°48’W ",Part of Belize National Parks System,Multiple Use Marine Reserve ,"Largest concentration of mangroves in Belize; Largest and most biodiverse coral reef atoll in Western Hemisphere; Mangrove, reef, seagrass and reef ecosystem that supports marine diversity",,,
16,Yum Balaam-Domino-Chacmochuc Complex,-86.99680488,21.59927818,Carlos Saavedra (Summit Foundation),Site,Atlantic,Central,Yum Balaam-Domino-Chacmochuc Complex,EEZ,WWF,"Fondo Mexicano para la Conservación de la Naturaleza, Fundación Pronatura (Yucatán), The Nature Conservancy, Amigos de Sian Ka’an ",National Commission for Natural Protected Areas (CONANP) = Mexico’s Federal authority for parks and reserves; Ministry of Agriculture & Fisheries (SEGARPA);   Private landowners (to secure conservation easements) ,2 years (?),"2,423 km2; Northeastern tip of Yucatan Peninsula (state of Quintana Roo); nearby coordinates for reference: 21°31'N &         87° 22'",,To be Determined. This would be an expansion of an existing protected area.,Highly productive region hosting one of the largest populations of whale sharks in the world but threatened by fishing and un-checked tourism,,http://www.worldwildlife.org/what/wherewework/mesoamericanreef/projectspage-yumbalam.html,
17,Azores/Mid-Atlantic Ridge including the Atlantis-Meteor Seamount Ridge and Logatchev Vents,-30.08417787,38.6512645,"WWF, Greenpeace websites",Seascape,Atlantic,N,Azores/Mid-Atlantic Ridge including the Atlantis-Meteor Seamount Ridge and Logatchev Vents,Both,GP,"Greenpeace, WWF","Azores/Portuguese Governments, ICCAT, International Seabed Authority (ISBA), UNGA",,stretches from Santo Tomás de Castilla (Guatemala) north to Punta Gorda (Belize). Its south-eastern end is marked by a small peninsula known as Punta de Manabique. Reference point:  15° 55_ N & 88° 45_ W,Currently closed to bottom fishing (including Rainbow Vent via OSPAR); goal to close to all fishing,Closed to mining and bioprospecting (Logatchev Vents),"Rainbow and Logatchev hydrothermal vent fields, seamount diversity (Meteor seamount included), tuna and other billfish diversity",,http://www.cbd.int/doc/meetings/mar/ewbcsima-01/other/ewbcsima-01-wwf-04-en.pdf,
18,Charlie-Gibbs Fracture Zone,-35.44259639,52.84536442,"MCBI High Seas List, Silvia Earle Alliance website, WWF website",Site,Atlantic,N,Charlie-Gibbs Fracture Zone,High Seas,OSPAR,"WWF, SEA, MCBI ","OSPAR, Netherlands, Portugal, Belgium, Germany governments",Regulations for the OSPAR MPA are in process,"14,420 km2",A portion of the Charlie Gibbs Fracture zone  has been designated as an MPA by OSPAR. NEAFC bottom closures overlap a portion of this MPA,Closed to fishing,Protect remainder of the fracture zone (in addition to current OSPAR closures) due to high endemism,,,
19,Sargasso Sea,-66.34595296,27.66790118,NGS List,Site,Atlantic,N,Sargasso Sea,High Seas,Sargasso Sea Alliance/ IUCN,"Sargasso Sea Alliance, SEA, Pew,  MCBI, Mission Blue, WWF",Bermuda govt.,?,,,,"Important juvenile loggerhead area, highly diverse and unique ecosystem",,http://openoceansdeepseas.org/Our%20Work/rare-2,http://openoceansdeepseas.org/Our%20Work/lifecycle-2
20,Atlantic Island National Park enlargement,-8.934250039,42.30583458,Xavier Pastor (Oceana),Site,Atlantic,NE,Atlantic Island National Park enlargement,EEZ,Oceana,National Park,Spanish government,2014,150 Km2,,National Park,,,,
21,Aviles canyon,-6.148587519,43.82659219,Xavier Pastor (Oceana),Site,Atlantic,NE,Aviles canyon,EEZ - multi-country,Oceana,INDEMARES,Spanish government/EU Commission/OSPAR,2013,"1,300 Km2",,MPA/OSPAR Network,,,,
22,Bahamian Reefs,-77.235158,22.94664705,Silvia Earle Alliance website,Site,Atlantic,NE,Bahamian Reefs,EEZ - multi-country,SEA ,SEA Alliance ,,,"14,000 km2",Andros Island is a National Marine Park but still threatened by fishing and boating,,"Contains the second largest barrier reef in the western hemisphere, one of the best preserved elkhorn/staghorn reefs in the world and a number of endangered marine species but threatened by fishing, boating and development",,http://www.sylviaearlealliance.org/node/14942,
23,Basque Maritime Corridor,-1.850982341,43.39321792,Xavier Pastor (Oceana),Site,Atlantic,NE,Basque Maritime Corridor,EEZ - multi-country,Oceana,COBE/Regional governments,Spanish and French government,2012,300 Km2,,Nature 2000 network,,,,
24,Canary Island Northern seamounts,-14.1652333,30.55070676,Xavier Pastor (Oceana),Site,Atlantic,NE,Canary Island Northern seamounts,EEZ - multi-country,Oceana,INDEMARES,Spanish government/EU Commission,2012-2016,"35,000 Km2",,Nature 2000 network + OSPAR network ,,,,
25,Capbreton Canyon,-1.675263403,43.66436973,Xavier Pastor (Oceana),Site,Atlantic,NE,Capbreton Canyon,EEZ - multi-country,Oceana,AZTI/IFREMER,Spanish and French government/EU Commission,2014,"3,000 Km2",,Nature 200 network,,,,
26,Doñana National Park marine enlargement,-6.678309244,36.98680455,Xavier Pastor (Oceana),Site,Atlantic,NE,Doñana National Park marine enlargement,EEZ,Oceana,Regional government,Spanish government,2012,800 Km2,,National Park,,,,
27,Gorringe Bank and Ampere seamount,-12.11697132,35.99397898,Xavier Pastor (Oceana),Site,Atlantic,NE,Gorringe Bank and Ampere seamount,EEZ - multi-country,Oceana,Portuguese Government/Algarve University,Portuguese Government/European Commission,2011,"30,000 Km2",,Nature 2000 network + OSPAR network,,,,
28,Greenland Sea,0.285818628,77.10090443,Greenpeace website,Seascape,Atlantic,NE,Greenland Sea,Both,GP,Greenpeace,"Greenland gov, ICATT",,,,Closed to fishing,Threat of more fishing with global warming,,,
29,Hatton and Rockall Banks,-15.62059041,58.1799376,WWF website,Site,Atlantic,NE,Hatton and Rockall Banks,Both,WWF,"WWF, Scottish Fishermen's Federation","NE Atl Fisheries Commission, EU Community",,?,Closed to bottom fishing,?,Cold-water coral reefs,,http://ngo.grida.no/wwfneap/Publication/briefings/Rockall_Hatton_update.pdf,
30,Sahara seamounts,-19.6349547,25.69242773,Xavier Pastor (Oceana),Site,Atlantic,NE,Sahara seamounts,EEZ - multi-country,Oceana,Canaries scientists,Spanish government/EU Commission,2014,"50,000 Km2",,MPA,,,,
31,Caribbean Challenge,-67.09643092,19.89611808,Lynne Hale (CI),Seascape,Atlantic,NW,Caribbean Challenge,EEZ,TNC,"GLISPA, SEA",,2020,,,20% of marine and coastal habitats by 2020,Ecotourism accounts for 50% of the Caribbean nations' income,,,
32,Gulf of Mexico,-91.19205707,24.40286756,TNC,Seascape,Atlantic,NW,Gulf of Mexico,EEZ,TNC,,NOAA Fisheries,,,,,"Diverse ecosystem including coral reefs, mangroves, oyster beds, seagrasses and marshes but threatened by dead zones, wetland loss, declining fisheries and oil and gas industries",,http://www.nature.org/wherewework/northamerica/gulfofmexico/howwework/our_story.html,
33,Gulf of Mexico Deep Reefs,-91.36769986,26.15396258,Silvia Earle Alliance website,Site,Atlantic,NW,Gulf of Mexico Deep Reefs,EEZ,SEA ,"SEA, MCBI","NOAA, NMFS, State govs of Texas, Mississippi, Louisiana, Alabama, Florida",,Continental shelf of Gulf of Mexico,Flower Garden Banks protects some,Closed to bottom fishing and longlining,Diverse coral ecosystems that support commercially important fisheries and entire ecosystems,,,
34,South Shoal of the Grand Banks,-51.75506521,44.2085718,WWF website,Site,Atlantic,NW,South Shoal of the Grand Banks,Both,WWF,World Wildlife Fund,"Canadian government, ICCAT, UNGA",,,,,"Important fishing and nursery ground for region; in danger of continued overfishing; Highly productive, important for fisheries, whales and a total of 30 species of marine mammals",,http://www.cbd.int/doc/meetings/mar/ewbcsima-01/other/ewbcsima-01-wwf-04-en.pdf,
35,Southeast US Deep Corals,-79.75406715,30.33935179,MCBI,Site,Atlantic,NW,Southeast US Deep Corals,EEZ,MCBI,EDF,SAFMC,,,,,EFH/ HAPC designation for deep coral habitats,,,
36,Abrolhos Region,-38.65014382,-18.29493021,CI website,Site,Atlantic,S,Abrolhos Region,EEZ,CI,CI,Brazilian Government,,"Region is 95,000 km2","Currently 2900 km2 marine reserve, Corumbau Extractive Reserve (982 km2) allows local fishermen",,"Does not seem to be as well formulated of an effort yet but all within a single EEZ; Highest coral reef biodiversity in S Atl, supports fisheries, endangered and threatened spp (green sea turtles, whales)","While this is an important biological area where CI has had significant traction in creating reserves, fishing is essential to local communities",http://www.conservation.org/sites/marine/initiatives/seascapes/pages/brazil.aspx,
37,Areas north of the Falklands/Malvinas,-59.59278655,-47.38928691,Ben Lascelles (BirdLife International),Site,Atlantic,S,Areas north of the Falklands/Malvinas,EEZ,BirdLife,BirdLife,British govt.,,,,,,,,
38,Areas west of Tristan de Cunha,-14.26513231,-37.89306408,Ben Lascelles (BirdLife International),Site,Atlantic,S,Areas west of Tristan de Cunha,High Seas,BirdLife,BirdLife,"ICATT, SEAFO, British Government",,,,,,,,
39,Patagonian Shelf including Tortel MPA (Oceana),-66.15300709,-51.68825929,"Caleb McClennen (WCS), Claudio Campagna (WCS)",Site,Atlantic,S,Patagonian Shelf including Tortel MPA (Oceana),"Both, EEZs multi-country",WCS,"Foro para el Conservation del Mar Patagonico, Wildlife Conservation Society, World Wildlife Fund, SEA Alliance, Greenpeace, Oceana","Argentinean, Chilean and British governments",7-10 years; need more work with local governments & people needed but very strong NGO coordination & support,"1,800,000 km2","13,600 km2 already in MPAs but not all reserves",Networks of protected areas; Ban salmon aquaculture in Tortel fjords,"Incredibly diverse and well-studied area; VERY strong local NGO community; Highly productive, diverse area with threatened/endangered spp (penguins, albatross)",Gov target of 10% MPAs; supportive Parks Admin Pres; VERY strong and well coordinated NGO community; fishing is economically important; History of intense fishing and oil-gas development but area around the Falklands relatively pristine because of political conflicts with British; Oceana seeking approval for Tortel MPA from Regional Environmental Agency (COREMA),http://www.atlas-marpatagonico.org/home-spaces-species.html,
40,South Atlantic Seascape,-11.01584092,-15.68544637,Greenpeace website,Seascape,Atlantic,S,South Atlantic,High Seas,GP,Greenpeace,"ICATT, SEAFO",,,,Closed to fishing,"Seamount diversity, tuna and other billfish diversity",,,
41,Agulhas Bank Deep Reefs,20.96260858,-35.77163674,Kerry Sink (South Africa Biodiversity Institute),Site,Atlantic,SE,Agulhas Bank Deep Reefs,EEZ,,"TNC, WWF, South African Biodiversity Institute",South African Government,,?,,,Reef ecosystems important to commercial fisheries,,,
42,Cape Canyon,17.30908867,-33.71250035,Kerry Sink (South Africa Biodiversity Institute),Site,Atlantic,SE,Cape Canyon,EEZ,,"TNC, WWF, South African Biodiversity Institute",South African Government,,?,,,"High diversity and productivity, especially benthic",Will likely be difficulty with stakeholders,,
43,"Child's Bank, South Africa",15.83993743,-30.82211027,Kerry Sink (South Africa Biodiversity Institute),Site,Atlantic,SE,"Child's Bank, South Africa",EEZ,,"TNC, WWF, South African Biodiversity Institute",South African Government,,Child's Bank and adjacent west coast shelf edge,,Marine reserve,Area supports commercially important fisheries; threats from trawling and mining,Region already declared future MPA by SA government,,
44,Southeast Atlantic Seamounts/Discovery Tablemount Group,-0.104085501,-42.2689574,GOBI report,Site,Atlantic,SE,Southeast Atlantic Seamounts/Discovery Tablemount Group,High Seas,?,,,,,,,"One of the few regions where seamounts are unexploited, high productivity and endemism from seamounts",,,
45,Tip of Agulhas Bank,21.0053971,-36.9176844,Kerry Sink (South Africa Biodiversity Institute),Site,Atlantic,SE,Tip of Agulhas Bank,EEZ,,"TNC, WWF, South African Biodiversity Institute",South African Government,,Tip of the bank as well as seamounts,,,Biogeographic transition zone where Atlantic and Indian Oceans meet resulting in high productivity and important fishing grounds,,,
46,Transboundary South Africa - Namibia Shelf Edge,12.78267863,-23.11835626,Kerry Sink (South Africa Biodiversity Institute),Site,Atlantic,SE,Transboundary South Africa - Namibia Shelf Edge,EEZ,?,?,South African and Namibian governments,,,,,,,,
47,Vema Seamount - Benguela ,8.345204507,-31.59925028,Greenpeace website,Site,Atlantic,SE,Vema Seamount - Benguela ,Both,GP,Greenpeace,"South African and Namibian governments, SEAFO",,,,,Highly diverse seamount and pelagic ecosystems that are threatened by overfishing and bycatch,,,
48,"Walvis Ridge, Namibia/Angola",5.124637731,-26.43751233,Kerry Sink (South Africa Biodiversity Institute),Site,Atlantic,SE,"Walvis Ridge, Namibia/Angola",EEZ,,,Namibia and Angola Governments,,,,,Geological hotspot littered with corals and hydrothermal vents; commercial fishing grounds,,,
49,Areas around Isla Trindade,-29.33396338,-20.49502556,Ben Lascelles (BirdLife International),Site,Atlantic,SW,Areas around Isla Trindade,Both,BirdLife,BirdLife,"Brazilian Government, ICCAT",,,,,,,,
50,Areas off Argentina/Uruguay,-54.1564961,-37.25847528,Ben Lascelles (BirdLife International),Site,Atlantic,SW,Areas off Argentina/Uruguay,EEZ,BirdLife,BirdLife,Argentina and Uruguay Governments,,,,,,,,
51,Areas east of Heard and MacDonald Islands,87.87417509,-48.67967781,Ben Lascelles (BirdLife International),Site,Indian,Central,Areas east of Heard and MacDonald Islands,EEZ,BirdLife,BirdLife,Australian Government,,,,,,,,
52,Bay of Bengal,87.64745066,14.55304331,"Whale and Dolphin Conservation Society, Greenpeace websites",Site,Indian,Central,Bay of Bengal,EEZ,WDCS,"WDCS, Greenpeace",Bangladesh (and Indian?) Government,,From Sundarbans mangrove area to the deep regions off the shelf (Swatch of No Ground),None,"Reduced fishing, mangrove destruction and water engineering","High cetacean diversity from Irrawaddy and Ganges river dolphins to whales and dolphins offshore; populations in relative abundance compared to other regions but threatened by bycatch, mangrove destruction and water engineering projects",,,
53,Central Indian Ocean,74.92616406,-7.45137676,Ben Lascelles (BirdLife International),Seascape,Indian,Central,Central Indian Ocean,High Seas,BirdLife,BirdLife,"IOTC, SWICFC",,,,,,,,
54,"Chagos, British Indian Ocean Territory",71.63827716,-5.708889507,NGS List,Site,Indian,Central,"Chagos, British Indian Ocean Territory",EEZ,Pew,"IUCN, SEA Alliance and many others",UK Foreign Office,Reserve created in 2010,"544,000 km2 (entire EEZ)",No take marine reserve,,"High tropical species diversity including birds, turtles, corals and fish",,,
55,Cocos to Christmas Island,100.9240399,-11.74303143,Ben Lascelles (BirdLife International),Site,Indian,Central,Cocos to Christmas Island,Both,BirdLife,BirdLife,Australian Government,,,,,,,,
56,"Farquhar Atoll, Seychelles",51.09304534,-10.17420345,NGS List,Site,Indian,Central,"Farquhar Atoll, Seychelles",EEZ,NGS,"Great Plains, Derek & Beverly Joubert, Seychelles Island Foundation","Seychelles President, Seychelles Env. Agency","Expedition Feb 2008, pitch Nov 2010",to 200 nm surrounding the 153 km2 island,"UNESCO World Heritage Site, Ramsar site",,"World's largest raised coral atoll with high diversity, including 150,000 giant tortoises",Low population,,
57,Outer Seychelles,53.4594436,-5.553816329,Silvia Earle Alliance website,Site,Indian,Central,Outer Seychelles,EEZ,SEA Alliance,SEA Alliance,French government,,,,,Pristine coral reefs and marine life in an uninhabited region but threatened by sea level rise,Low population numbers,http://www.sylviaearlealliance.org/node/15093,
58,Saya de Malha Banks,61.50000009,-10.50000021,NGS List,Site,Indian,Central,Saya de Malha Banks,High Seas,IUCN,"WWF, MCBI",WCPMC manages fisheries; Maritarus (claims as part of territorial waters),?,"Banks are 48,800 km2",,,"EBSA; Ecological significance determined by scientific experts (WWF); Largest seagrass beds, important foraging region for marine mammals, turtles and seabirds",Seychelles and Mauritius have filed joint extended continental shelf claim; Mauritius maintains dorry fisheries on the SdM banks,,
59,Northwestern Australia,120.9367202,-16.37191027,Greenpeace website,Site,Indian,E,Northwestern Australia,EEZ,GP,Greenpeace,Australian Government,,,,,Spawning area for blue fin tuna and critical feeding and juvenile habitat for whale sharks but threatened by overfishing in the region,,,
60,Western Australia,111.4720379,-25.35393896,Pew,Seascape,Indian,Eastern,Western Australia,EEZ,Saving our Marine Life,"Pew, WWF, TNC, Whale and Dolphin Conservation Society, Conservation Council of Western Australia, Australian Conservation Foundation, Wilderness Society, Australian Marine Conservation Society, Greenpeace (overlaps with South Australia area)",Australian Government,In process now; Aust Environmental Minister considering a plan,"Approximately 646,000 km2",None,,Highly diverse biologically and oceanographically; high endemism,"VERY strong, coordinated NGO community; Australian Environmental Minister Burke currently considering plan but there is strong resistance from fishermen etc",http://www.saveourmarinelife.org.au/; http://wildaustralia.org/campaigns/southwest-marine,
61,Delagoa Offshore - St Lucia and Mapualand (Offshore and southern extension),33.66616603,-27.6171238,Kerry Sink (South Africa Biodiversity Institute),Site,Indian,S,Delagoa Offshore - St Lucia and Mapualand (Offshore and southern extension),EEZ,,"TNC, WWF, Conservation International, South African Biodiversity Institute",South African Government,,,Out to 11 km from shore protected as a reserve and declared UNESCO World Heritage Site,,Reefs and wildlife (leatherback turtles) important for tourism and fisheries,,,
62,Kerguelen Islands,69.9860188,-48.80824154,WWF website,Site,Indian,S,Kerguelen Islands,EEZ,WWF,WWF,French government,??,,,,Important breeding grounds for penguin,France announced plans in 2006 to turn into an MPA as part of Terres Australis et Antarctiques Francaises (TAAF),,
63,South of Madagascar,45.62005458,-29.08710608,Ben Lascelles (BirdLife International),Site,Indian,S,South of Madagascar,Both,BirdLife,BirdLife,"Madagascar Government, SWICFC, CCSBT",,,,,,,,
64,Agulhas Current,-169.2296304,52.97069899,Greenpeace website,Site,Indian,W,Algulhas Current,Both,GP,Greenpeace,"South African Government, SWICFC, CCSBT, others?",,,,,Biogeographic transition zone where Atlantic and Indian Oceans meet resulting in high productivity and important fishing grounds,,,
65,Between Crozet and Kerguelen Islands,59.53114117,-48.10105366,Ben Lascelles (BirdLife International),Site,Indian,W,Between Crozet and Kerguelen Islands,Both,BirdLife,BirdLife,"CCSBT, SWICFC, French Governments",,,,,,,,
66,Between Kerguelen and Amsterdam Islands,74.25236667,-43.40833129,Ben Lascelles (BirdLife International),Site,Indian,W,Between Kerguelen and Amsterdam Islands,Both,BirdLife,BirdLife,"CCSBT, SWICFC, French Governments",,,,,,,,
67,Between Prince Edward Islands and Crozet Islands,44.69429015,-46.67005532,Ben Lascelles (BirdLife International),Site,Indian,W,Between Prince Edward Islands and Crozet Islands,Both,BirdLife,BirdLife,"CCSBT, SWICFC, South African and French Governments",,,,,,,,
68,Coastal East Africa,42.10080895,-9.448682184,WWF website,Seascape,Indian,W,Coastal East Africa,EEZ - multi-country,WWF,"WWF, TNC, IUCN","Somalia, Kenya, Tanzania, Mozambique, South Africa governments",,,Several MPAs already established,,"1,000 miles of coral communities with little bleaching",WWF has been working to create Primeiras & Segundas Reserve since 2004,,
69,Gloriosos Islands,47.38085914,-11.54667892,Pierre Leenhardt (Project GRAMP),Site,Indian,W,Gloriosos Islands,EEZ,,,French Government,Political announcement made but no timeline set yet,,,,"Important reef, seabird and sea turtle habitat",No human population,,
70,Kenya Seascape,40.54454829,-3.90737813,Caleb McClennen (WCS),Site,Indian,W,Kenya Seascape,EEZ,WCS,"Wildlife Conservation Society, Kenyan Wildlife Service, KMFRI"," KWS, Department of fisheries, local BMYs",Ongoing - 5 years,450 linear km,,Network of protected areas,Fish important for food security; Extensive coral reefs threatened by bleaching but some resisting ('super reefs'),,http://www.wcs.org/saving-wild-places/ocean/kenya-seascape.aspx,
71,Madagascar & Western Indian Ocean,56.95880432,-12.73748711,Caleb McClennen (WCS),Seascape,Indian,W,Madagascar & Western Indian Ocean,EEZ,"WWF, WCS","WWF, WCS, SAPM, Fisheries, Local communities",Madagascar Government,"Nosy Hara already protected, Salary Bay & Ambola in third stage with Malagasy government","Salary Bay & Ambola, Nosy Hara Archipelago, west coast of Madagascar",Nosy Hara protected,Network of protected areas,"Coral reef diversity, important region for local subsistence",,http://madagascar.panda.org/ourwork/,
72,Mayotte,45.25170652,-12.71247779,Pierre Leenhardt (Project GRAMP),Site,Indian,W,Mayotte,EEZ,,,French Government,"Area has been declared, in the process of getting public input","69,468 km2 (entire EEZ)",,,"Double barrier reef, mangroves, diverse coral, mammal and fish species but threatened by pollution and overexploitation; importance to local heritage and economy",Strong government support; already in process,,
73,North of Mozambique Channel,43.28289851,-14.21676181,Ben Lascelles (BirdLife International),Site,Indian,W,North of Mozambique Channel,EEZ - multi-country,BirdLife,BirdLife,"French, Seychelles, Comono Islands Governments",,,,,,,,
74,Northwest Indian Ocean,64.14909707,3.458145638,Ben Lascelles (BirdLife International),Seascape,Indian,W,Northwest Indian Ocean,High Seas,BirdLife,BirdLife,SWICFC,,,,,,,,
75,Port Elizabeth Shelf and Shelf Edge,26.09032869,-34.25773087,Kerry Sink (South Africa Biodiversity Institute),Site,Indian,W,Port Elizabeth Shelf and Shelf Edge,EEZ,,"TNC, WWF, South African Biodiversity Institute",South African Government,,,,,,Controversial area for stakeholders,,
76,Tugela Bank off KZN,31.64963405,-29.76418265,Kerry Sink (South Africa Biodiversity Institute),Site,Indian,W,Tugela Bank off KZN,EEZ,,"TNC, WWF, South African Biodiversity Institute",South African Government,,,,,Important fishing ground threatened by bottom trawling,,,
